family criticizes abandoned mine .,tourist recommends interesting museum .,0
tourist criticizes disgusting cave .,student enjoys impressive train .,0
student enters disgusting cave .,family enjoys impressive route .,0
family criticizes disgusting mine .,family enjoys impressive train .,0
family visits impressive factory .,tourist visits interesting factory .,1
family criticizes boring train .,student enjoys impressive museum .,0
family recommends abandoned factory .,family criticizes abandoned factory .,0
tourist enters boring museum .,family recommends boring mine .,0
family criticizes impressive factory .,tourist criticizes abandoned landscape .,0
student enjoys impressive museum .,tourist enjoys interesting museum .,1
family visits open route .,family enjoys impressive cave .,1
student enters boring factory .,tourist enjoys interesting train .,0
family recommends abandoned train .,student enters abandoned mine .,0
student enjoys impressive train .,family criticizes abandoned factory .,0
family recommends open mine .,family criticizes abandoned mine .,0
family visits boring factory .,family criticizes abandoned train .,0
tourist enters disgusting factory .,family enjoys interesting factory .,0
tourist enters disgusting cave .,family visits boring factory .,0
family criticizes boring landscape .,student criticizes abandoned landscape .,1
tourist recommends interesting train .,tourist recommends impressive mine .,1
tourist enters boring cave .,student criticizes boring factory .,1
student enters disgusting train .,student enters abandoned cave .,1
student enjoys open mine .,family criticizes boring landscape .,0
tourist criticizes boring factory .,family recommends disgusting landscape .,0
family recommends abandoned route .,tourist enters impressive factory .,1
tourist enters interesting train .,tourist visits interesting train .,1
tourist enjoys interesting museum .,tourist enjoys impressive route .,1
family visits impressive factory .,family visits open landscape .,1
student criticizes disgusting route .,student criticizes abandoned museum .,1
tourist criticizes open mine .,family visits open landscape .,0
student criticizes boring route .,student enjoys open route .,0
tourist visits impressive train .,family visits boring museum .,1
student enjoys impressive factory .,student enters boring landscape .,0
tourist recommends interesting factory .,tourist enters interesting route .,1
student criticizes open route .,tourist criticizes boring landscape .,1
student criticizes abandoned route .,student enters boring landscape .,1
student enters boring landscape .,family recommends interesting train .,0
family enters interesting train .,tourist criticizes disgusting route .,0
student enters disgusting landscape .,tourist enjoys open mine .,0
tourist recommends interesting factory .,tourist enters interesting route .,1
student enters disgusting train .,family visits boring museum .,0
student criticizes abandoned mine .,tourist criticizes boring landscape .,1
family visits impressive factory .,family criticizes disgusting museum .,0
tourist criticizes disgusting route .,family enjoys abandoned train .,0
tourist enjoys impressive train .,tourist visits interesting factory .,1
student criticizes boring factory .,student enters boring landscape .,1
family enters interesting cave .,family recommends boring mine .,1
family visits open landscape .,tourist criticizes boring train .,0
tourist criticizes disgusting train .,family visits impressive factory .,0
tourist enters disgusting museum .,student criticizes disgusting route .,1
tourist visits interesting museum .,student enters disgusting museum .,0
student visits open cave .,family enters interesting cave .,1
tourist criticizes boring factory .,tourist enters boring train .,1
student enters boring cave .,family recommends interesting train .,0
student enters boring cave .,family criticizes abandoned train .,1
family enjoys interesting route .,student enters abandoned cave .,0
family enters impressive cave .,tourist enjoys impressive route .,1
tourist criticizes disgusting train .,student criticizes boring train .,1
family enjoys disgusting cave .,student criticizes disgusting route .,0
tourist criticizes boring museum .,family visits boring train .,0
tourist enjoys impressive landscape .,student enters disgusting train .,0
family criticizes boring landscape .,family criticizes interesting landscape .,0
student criticizes open factory .,student criticizes open mine .,1
family recommends open route .,family recommends impressive factory .,1
family enjoys open museum .,student criticizes boring mine .,0
tourist criticizes disgusting cave .,student visits impressive factory .,0
student criticizes open route .,tourist criticizes abandoned landscape .,1
student enters disgusting factory .,student criticizes boring factory .,1
family criticizes abandoned factory .,tourist criticizes boring train .,1
student criticizes open factory .,student criticizes boring route .,1
student enters boring mine .,tourist enters boring cave .,1
