student enjoys impressive route .,tourist visits impressive cave .,1
tourist enters disgusting train .,student visits open cave .,0
tourist criticizes open route .,family criticizes boring train .,1
student criticizes open factory .,tourist criticizes open landscape .,1
family visits boring museum .,tourist recommends interesting train .,1
tourist criticizes disgusting cave .,student criticizes abandoned route .,1
student enters abandoned factory .,tourist criticizes abandoned landscape .,1
family criticizes boring landscape .,student criticizes abandoned landscape .,1
family enjoys disgusting museum .,family criticizes abandoned mine .,0
tourist enters abandoned museum .,family criticizes interesting train .,0
student recommends impressive factory .,family criticizes impressive landscape .,1
tourist criticizes abandoned mine .,tourist enters boring cave .,1
student enters boring route .,tourist enters disgusting museum .,1
student visits impressive factory .,tourist enjoys impressive route .,1
student enters boring mine .,family enjoys disgusting landscape .,0
student enters disgusting cave .,tourist recommends interesting museum .,0
tourist criticizes disgusting train .,student criticizes boring train .,1
student enjoys impressive cave .,tourist enters interesting route .,1
tourist enjoys open mine .,student criticizes open factory .,0
tourist enters boring factory .,student enters interesting route .,0
student criticizes boring landscape .,student enters boring mine .,1
student criticizes boring landscape .,tourist enjoys interesting train .,0
tourist visits interesting cave .,tourist enjoys impressive train .,1
family criticizes boring route .,student criticizes abandoned cave .,1
family criticizes impressive landscape .,family visits boring train .,1
tourist enjoys interesting museum .,tourist enters interesting train .,1
family recommends open route .,family recommends impressive factory .,1
tourist visits impressive mine .,family recommends abandoned route .,1
student enters boring mine .,family enters interesting mine .,0
tourist enters impressive factory .,family visits boring train .,1
tourist enters interesting route .,student criticizes disgusting landscape .,0
student enjoys impressive train .,student criticizes disgusting cave .,0
tourist enters boring route .,family recommends disgusting landscape .,0
family visits open landscape .,student enjoys impressive train .,1
tourist criticizes boring route .,student enjoys impressive museum .,0
family recommends open route .,student criticizes boring train .,0
tourist recommends interesting factory .,family recommends impressive museum .,1
family enjoys open cave .,family criticizes abandoned landscape .,0
family enters impressive museum .,family recommends disgusting landscape .,1
student criticizes abandoned train .,family visits impressive train .,0
tourist enters boring route .,family criticizes impressive landscape .,0
tourist recommends interesting factory .,tourist enters boring cave .,0
family criticizes boring landscape .,student enjoys impressive factory .,0
family recommends disgusting mine .,tourist enters impressive landscape .,1
family enjoys disgusting museum .,family recommends disgusting landscape .,1
family visits impressive route .,tourist criticizes open factory .,0
tourist criticizes disgusting factory .,student enters abandoned mine .,1
student enters boring mine .,family enters interesting cave .,0
tourist criticizes open landscape .,family enjoys open cave .,0
student enters boring route .,family enjoys interesting museum .,0
tourist visits impressive cave .,student enters abandoned museum .,0
student enters disgusting train .,family visits impressive museum .,0
tourist enters interesting train .,student visits impressive factory .,1
tourist criticizes boring mine .,student enters disgusting route .,1
student recommends open cave .,tourist enters abandoned factory .,0
student recommends open mine .,family visits boring train .,1
tourist recommends impressive route .,family visits open route .,1
family visits impressive train .,family criticizes boring factory .,0
family enjoys impressive train .,family criticizes interesting cave .,1
student criticizes open cave .,tourist enters boring route .,1
family enjoys impressive cave .,tourist criticizes boring factory .,0
tourist enters interesting landscape .,family criticizes interesting factory .,1
student criticizes boring factory .,family visits boring museum .,0
tourist criticizes boring factory .,student criticizes abandoned mine .,1
student criticizes open route .,family criticizes boring train .,1
tourist visits interesting cave .,student criticizes open factory .,0
tourist enters abandoned museum .,tourist visits impressive mine .,0
student enjoys impressive train .,family enters impressive cave .,1
family enjoys disgusting museum .,family criticizes abandoned museum .,0
student enters disgusting train .,family visits boring museum .,0
family enters impressive cave .,student enjoys open route .,1
tourist enjoys impressive train .,family criticizes boring train .,0
student enters boring factory .,student criticizes boring museum .,1
family criticizes boring train .,student criticizes disgusting landscape .,1
student criticizes open landscape .,tourist enters disgusting museum .,1
family enters interesting train .,tourist visits impressive train .,1
tourist criticizes open mine .,family visits impressive museum .,0
family recommends interesting train .,family enjoys interesting factory .,1
tourist enters boring museum .,tourist visits impressive museum .,0
student enters abandoned cave .,tourist criticizes open train .,1
family visits interesting mine .,tourist criticizes boring route .,0
tourist criticizes boring cave .,family enters interesting mine .,0
tourist criticizes disgusting route .,student enters abandoned factory .,1
student enters abandoned museum .,family recommends disgusting landscape .,0
tourist criticizes disgusting mine .,student criticizes boring train .,1
family criticizes disgusting mine .,family visits boring museum .,0
family recommends open route .,student enters boring factory .,0
family criticizes impressive factory .,tourist enters boring factory .,0
tourist enters interesting landscape .,tourist criticizes disgusting cave .,0
family visits disgusting cave .,tourist enters impressive museum .,1
family criticizes disgusting landscape .,tourist enters interesting route .,0
student criticizes boring factory .,student enters boring landscape .,1
student enters abandoned train .,family visits disgusting cave .,0
tourist criticizes boring factory .,family recommends disgusting landscape .,0
family criticizes disgusting route .,tourist enters abandoned cave .,1
family enters interesting cave .,tourist visits impressive train .,1
tourist enters abandoned factory .,family enters interesting mine .,0
family visits boring landscape .,tourist criticizes disgusting mine .,0
tourist criticizes boring cave .,tourist visits impressive museum .,0
student criticizes boring train .,tourist enjoys impressive train .,0
family criticizes interesting factory .,family visits boring train .,1
tourist criticizes disgusting route .,tourist criticizes boring train .,1
family enjoys abandoned train .,family enjoys impressive train .,1
