id,Date,Text,Count,Hashtags
1666060315736285191,2023-06-06,     El especial Film Commissions del nuevo num. de  incluye un reportaje sobre los  y  vinculadas al patrimonio industrial de  y sobre la nueva apuesta de  la marca  Asturias Naturaleza Minera .   ,4,"PRENSA, rodajes, localizaciones, Asturias, Asturies"
1665619598912135168,2023-06-05,"  Ya a la venta los Itinerarios por el Patrimonio para este verano. El Camín de los Santuarios y el Patrimonio Industrial, protagonizan las próximas rutas. ",11,0
1665608741918593024,2023-06-05,"Preciosa exposición en el Museo de la Industria Armera en Eibar de los diseños industriales de material de oficina de las empresas Imperial Española, Laster, Orozco y Echevarría, Servetta. ",0,0
1665507104730279937,2023-06-04," Imprescindible: rescatador de paisajes... y visionario de la riqueza del Patrimonio Industrial de Fray Bentos...  a causa del revuelo x UPM y BOTNIA, hoy tienen un Patrimonio Mundial     Este es el legado Arana",1,0
1665418366389977090,2023-06-04,El Patrimonio Industrial de Asturias en 8 museos. Si nos los conoces...  anota   ,8,0
1665361729902071810,2023-06-04,"Los ayuntamientos han contado con apoyo del Instituto de Transición Justa en 200 proyectos con más de 200 M: recuperación de patrimonio industrial y cultural, viveros para empresas, vivienda social, sendas verdes que recorren una naturaleza espectacular, centros municipales... ",4,0
1665299377584320512,2023-06-04,Esta mañana toca disfrutar.  Arqueología y patrimonio industrial en diálogo con la creación plástica contemporánea (días temporales dedicadas a Ovejero y Ernst Kraft). ,0,0
1664987802998566917,2023-06-03,"Sobre la invisibilización dentro de la diversidad sexual, el patrimonio industrial y los duelos que no hablamos, escriben este sábado   y Graciela Rock.   |  |  ",5,Opinión51
1664722905035415554,2023-06-02,Descubriendo la esencia de las  junto a   Un recorrido para conocer el patrimonio industrial y natural de esta comarca junto al aventurero más conocido de       ,0,"Encartaciones, GotzonMantuliz, Bizkaia"
1664599326327226369,2023-06-02,"Asturias si yo pudiera Si yo supiera cantarte Si yo quisiera DEFENDERTE El patrimonio industrial,minero y material en gral. de  es tan importante como un Himno culturalmente hablando y nos debe acelerar igual el corazón DEFENDÁMOSLO PUES No esperemos que caiga el siguiente",2,Mieres
1664583731116404742,2023-06-02, Han integrado en Essen  unos antiguos talleres en un IKEA en vez de dejarlos abandonados o demolerlos   Han integrado en Essen unos antiguos talleres en un IKEA vez de dejarlos abandonados o demolerlos ,9,Alemania
1664512598203613190,2023-06-02,Industry  amp; Heritage  Cuatro paseos por el patrimonio industrial de la ría de  .    ,0,Bilbao
1664512561117634563,2023-06-02,"Su TFM  Aplicación de técnicas de realidad virtual en el ámbito del patrimonio industrial , dirigido por Sergio Martín Béjar y Carolina Bermudo Gamboa, ha conseguido el máximo reconocimiento en esta convocatoria de ámbito nacional.",0,0
1664267390425907201,2023-06-01,SOS fábrica      ,0,"Dalia, Gernika, patrimonioindustrial"
1664186096475840512,2023-06-01,"Publicación de la Guía de Campo de las IX Jornadas del Grupo de Geografía Económica de la AGE    Transición energética, patrimonio industrial y agroindustria renovada en la provincia de Ciudad Real  Se puede acceder en:  ",5,0
1663942924713836544,2023-05-31," Patrimonio Industrial cosas feas e inservibles, ah, pero cuando hay que restaurar pazos y edificios históricos para que no se caigan... ahí calladitos.",0,0
1663937933194276866,2023-05-31,"    El Cabildo de los arqueólogos funcionarios no te va a recomendar el libro de Amara Florido, con más información sobre el tema: el patrimonio industrial de  ",0,GranCanaria
1663826635655610370,2023-05-31," Aún no has vivido la  de entrar en un    Si todavía no lo has hecho, te esperamos en nuestras  de los viernes.  Reserva tu entrada en         ",1,"experiencia, hornoalto, visitasguiadas, patrimonioindustrial, industrialheritage, tourguide, experience, valencia, sagunto"
1663621216437936128,2023-05-30,        CONMEMORACIÓN:  la UD Morón CF se hizo un Reconocimiento al Patrimonio Industrial en la Asamblea de Socios celebrada el pasado viernes 26 de mayo de 2023. 2 6             ,0,"100AñosDeFútbolEnMorón, QueremosMás, VamosMiMorón"
1663441915205804034,2023-05-30,La  en Galicia también es historia. Desde la COMG seguimos apoyando aquellos proyectos que mantienen vivo el  de nuestra región y que le dan una segunda vida a explotaciones mineras ya cerradas.  (Viveiro)  ,1,"minería, patrimonioindustrial, MinasdeASilvarosa"
1663368938858659843,2023-05-30,"Este es un proyecto de investigación adjudicado al fondo del patrimonio cultural, en el cual he trabajado en conjunto a Andrea Berger y Andrea Valenzuela, indagando sobre el patrimonio industrial del Barrio el Almendral.. ",2,0
1662791107481149442,2023-05-28,Patrimonio Industrial  lo mejor de la gastronomía del centro de Asturias  qué te parece el plan  Lee con atención la propuesta de    ,5,0
1662740080245583872,2023-05-28,"Hace solo unos meses nos contó su historia, la del último maquinista de la histórica locomotora cordobesa de 1864. Hoy, quienes luchan por conservar esta máquina como patrimonio industrial de Córdoba, le recuerdan. 1 2  a través de ",0,0
1662089075447287808,2023-05-26,Estamos de enhorabuena. Han incluido la Fábrica de Armas de La Vega en la lista roja del patrimonio industrial. Una visibilización a nivel nacional e internacional de mucho valor. La presión en defensa de La Vega sigue creciendo. Seguimos   ,66,0
1662050752854884353,2023-05-26," Damos la bienvenida al fin de semana con la chimenea   Mónica , único vestigio de la antigua fundición de plomo de Los Guindos,    ",0,"Málaga, PatrimonioIndustrial, Andalucía"
1661986725386768389,2023-05-26," Destrucción del patrimonio industrial, una vez más",0,0
1661823762616991750,2023-05-25,"La  columna vertebral de   El río  viaja 23 kilómetros desde la capital de  hasta el   , recorriendo todo nuestro patrimonio industrial.      ",3,"Ría, Bilbao, Nervión, Bizkaia, marCantábrico"
1661781644955594790,2023-05-25,    En increible la cantidad de patrimonio industrial que se perdió.,0,0
1661758769234149376,2023-05-25,"  Somos  para poner en valor nuestro Patrimonio Industrial, proteger nuestro entorno natural y luchar por empleos dignos.    Con       El próximo 28 de mayo vota a Esquerra Unida   Unides Podem,        ",13,"LaFuerzaNecesaria, LaFuerzaNecesaria, EUPVSagunt"
1661756463260262403,2023-05-25,Ginés Garrido nos detalla su intervención en el parque de la ribera del Nervión. Un proyecto ejemplar en su forma de rehabilitar el patrimonio industrial.  ,0,EncuentrosARCA
1660761873669582849,2023-05-22,"El movimiento obrero, el gran olvidado en el patrimonio industrial. Por Alejandro Martínez                ",0,"22deMayo, CIS, ViniciusJr, PobrezaYExclusiónSsocial, Elecciones28M, Programas, PSOE, IU, Podemos, NoALaGuerra, Rusia, Ucrania"
1660740342591770659,2023-05-22,"La Ciuden de Ponferrada es un ejemplo de puesta en valor del patrimonio industrial. Además de museo con testimonios de los antiguos trabajadores, hay un  bosque carbonífero  con plantas australianas y una exposición sobre la comunidad caboverdiana. ",1,0
1660716177121849347,2023-05-22,"Coidamos e poñemos en valor o noso patrimonio histórico e natural   .   Sargadelos pode considerarse o santuario do patrimonio industrial de Galicia , sendo declarado no ano 1972 como Conxunto Histórico Artístico de Sargadelos",0,0
1660716175355944987,2023-05-22,"Cuidamos y ponemos en valor nuestro patrimonio histórico y natural   .   Sargadelos puede considerarse el santuario del patrimonio industrial de Galicia , siendo declarado en el año 1972 como Conjunto Histórico Artístico de Sargadelos                    ",0,0
1660689339804729354,2023-05-22,  Rehabilitaremos el Palacio Monterrón para convertirlo en todo un referente del patrimonio industrial y el cooperativismo de Euskadi.       ,2,AurreraBateraArrasate
1660688436322336768,2023-05-22,El Centro Cultural La Carmela forma parte del patrimonio industrial de    Conoce más sobre este espacio que ahora impulsa la cultura aquí      ,0,"Puebla, BuenLunes"
1660667393000054785,2023-05-22," Vete haciendo  para el fin de semana     3  y  para conocer el  industrial de Bizkaia    Descúbre curiosidades, espectáculos y descubre museos únicos relacionados con nuestro reciente pasado industrial      ",0,"planes, visitas, experiencias, patrimonio"
1660657264158560262,2023-05-22,"dw_espanol: Si le interesan los  de  el  el patrimonio industrial o los volcanes, estas rutas ofrecen siempre algo para todos los gustos. Aquí, las mejores imágenes. (cp). ",0,"castillos, Alemania, vino"
1660657037959651329,2023-05-22,"El movimiento obrero, el gran olvidado en el patrimonio industrial  Alejandro Martínez vía ",0,0
1660647780212146184,2023-05-22,"Si le interesan los  de  el  el patrimonio industrial o los volcanes, estas rutas ofrecen siempre algo para todos los gustos. Aquí, las mejores imágenes. (cp). ",17,"castillos, Alemania, vino"
1660645701288710149,2023-05-22,"    No cerraron Correos. Se la vendieron al Deutsche Bank. Años después el banco se la devolvió al Estado. Ahora está en el SEPI(sociedad española del patrimonio industrial), creo. Tienes razón, pero muchas empresas cuando tienen problemas no piden ayuda al Estado. Echan mano de sus",0,0
1660607356651053056,2023-05-22,La estación del Norte de   San Sebastián pasa a la Lista Negra del Patrimonio de Hispania Nostra. Hoy en el blog de AVPIOP IOHLEE.          a través de ,3,"Donostia, Estacion, PatrimonioIndustrial, tren, Ferrocarril, HispaniaNostra, SanSebastian"
1660601494821912578,2023-05-22,Buenos días amantes del  Hoy  del intenso fin de semana alrededor de  con una ruta minera y  jornada sobre  y  en la Real Fábrica. Muchas ideas y cosas por hacer. ,3,"PatrimonioIndustrial, fotoindustrialdeldia, RealFabricayTerritorio, turismoindustrial, didáctica"
1660598267237875713,2023-05-22,La máquina de vapor Santa Rita continúa maltratada por las inclemencias del tiempo y herida por corrosión. Un patrimonio industrial más olvidado por el Gobierno Municipal. Mi compromiso es recuperarlo y ponerlo en lugar más significativo y emblemático.       ,3,"Esperanza, VotaPSOE"
1660562441112043521,2023-05-22,"El movimiento obrero, el gran olvidado en el patrimonio industrial.     Por Alejandro Martínez  ",6,0
1660555027667140608,2023-05-22,Hoy os proponemos un recorrido por las  en  referencia mundial del  vía  ,0,"MinasDeAlmadén, CiudadReal, PatrimonioIndustrial"
1660547692139823107,2023-05-22,"El movimiento obrero, el gran olvidado en el patrimonio industrial. Por Alejandro Martínez  a través de ",0,0
